Date;Enviorment;Temperature;Humidity
2016-10-01 23:16;Ute;9.9;58
2016-10-01 23:17;Ute;9.9;58
2016-10-01 23:18;Ute;9.9;58
2016-10-01 23:19;Ute;9.9;58
2016-10-01 23:20;Ute;9.9;58
2016-10-01 23:21;Ute;9.9;58
2016-10-01 23:22;Ute;9.9;58
2016-10-01 23:23;Ute;9.9;58
2016-10-02 09:11;Ute;9.9;71
2016-10-03 00:06;Ute;9.9;66
2016-10-03 00:07;Ute;9.9;66
2016-10-03 00:08;Ute;9.9;66
2016-10-03 00:10;Ute;9.9;66
2016-10-03 00:11;Ute;9.9;66
2016-10-03 00:12;Ute;9.9;66
2016-10-03 00:13;Ute;9.9;66
2016-10-03 00:14;Ute;9.9;66
2016-10-03 10:13;Ute;9.9;66
2016-10-03 10:14;Ute;9.9;66
2016-10-03 10:15;Ute;9.9;66
2016-10-03 10:16;Ute;9.9;66
2016-10-03 10:17;Ute;9.9;66
2016-10-03 10:18;Ute;9.9;66
2016-10-03 19:25;Ute;9.9;49
2016-10-03 19:26;Ute;9.9;49
2016-10-03 19:27;Ute;9.9;49
2016-10-04 12:42;Ute;9.9;63
2016-10-04 12:45;Ute;9.9;63
2016-10-04 12:46;Ute;9.9;63
2016-10-04 12:47;Ute;9.9;62
2016-10-04 17:42;Ute;9.9;45
2016-10-05 11:40;Ute;9.9;55
2016-10-05 11:41;Ute;9.9;55
2016-10-05 11:42;Ute;9.9;55
2016-10-05 11:43;Ute;9.9;55
2016-10-05 11:44;Ute;9.9;54
2016-10-05 17:40;Ute;9.9;46
2016-10-06 18:16;Ute;9.9;47
2016-10-06 18:17;Ute;9.9;46
2016-10-06 18:18;Ute;9.9;47
2016-10-06 18:19;Ute;9.9;47
2016-10-06 18:20;Ute;9.9;46
2016-10-06 18:21;Ute;9.9;46
2016-10-06 18:22;Ute;9.9;47
2016-10-06 18:23;Ute;9.9;47
2016-10-06 18:24;Ute;9.9;47
2016-10-06 18:25;Ute;9.9;47
2016-10-07 10:21;Ute;9.9;65
2016-10-09 10:32;Ute;9.9;73
2016-10-09 10:33;Ute;9.9;72
2016-10-09 10:33;Ute;9.9;72
2016-10-09 10:34;Ute;9.9;72
2016-10-09 10:35;Ute;9.9;72
2016-10-09 10:36;Ute;9.9;72
2016-10-09 10:37;Ute;9.9;72
2016-10-09 15:40;Ute;9.9;70
2016-10-09 15:41;Ute;9.9;71
2016-10-09 15:43;Ute;9.9;71
2016-10-09 15:44;Ute;9.9;71
2016-10-09 15:45;Ute;9.9;71
2016-10-09 15:46;Ute;9.9;71
2016-10-09 15:47;Ute;9.9;72
2016-10-09 15:50;Ute;9.9;72
2016-10-09 15:51;Ute;9.9;72
2016-10-09 15:52;Ute;9.9;72
2016-10-09 15:54;Ute;9.9;72
2016-10-09 15:54;Ute;9.9;72
2016-10-09 15:55;Ute;9.9;72
2016-10-09 15:55;Ute;9.9;72
2016-10-09 15:56;Ute;9.9;72
2016-10-09 15:56;Ute;9.9;72
2016-10-09 15:56;Ute;9.9;72
2016-10-09 15:57;Ute;9.9;72
2016-10-09 16:03;Ute;9.9;72
2016-10-09 16:10;Ute;9.9;72
2016-10-09 16:19;Ute;9.9;72
2016-10-11 11:51;Ute;9.9;66
2016-10-11 11:52;Ute;9.9;66
2016-10-11 11:57;Ute;9.9;66
2016-10-11 11:57;Ute;9.9;66
2016-10-11 11:57;Ute;9.9;66
2016-10-11 11:58;Ute;9.9;66
2016-10-11 11:59;Ute;9.9;66
2016-10-11 11:59;Ute;9.9;66
2016-10-11 12:00;Ute;9.9;66
2016-10-11 12:00;Ute;9.9;66
2016-10-11 12:01;Ute;9.9;66
2016-10-11 12:01;Ute;9.9;66
2016-10-11 12:01;Ute;9.9;66
2016-10-11 12:02;Ute;9.9;66
2016-10-11 12:02;Ute;9.9;66
2016-10-11 12:03;Ute;9.9;66
2016-10-11 12:03;Ute;9.9;66
2016-10-11 12:04;Ute;9.9;66
2016-10-11 12:04;Ute;9.9;66
2016-10-11 12:04;Ute;9.9;66
2016-10-11 12:05;Ute;9.9;66
2016-10-11 12:05;Ute;9.9;66
2016-10-11 12:06;Ute;9.9;66
2016-10-11 12:06;Ute;9.9;66
2016-10-11 12:06;Ute;9.9;66
2016-10-11 12:07;Ute;9.9;66
2016-10-11 12:10;Ute;9.9;66
2016-10-11 12:11;Ute;9.9;66
2016-10-11 12:12;Ute;9.9;66
2016-10-11 12:13;Ute;9.9;66
2016-10-11 12:13;Ute;9.9;66
2016-10-11 12:14;Ute;9.9;66
2016-10-11 12:14;Ute;9.9;66
2016-10-11 12:14;Ute;9.9;66
2016-10-11 12:15;Ute;9.9;66
2016-10-11 12:16;Ute;9.9;66
2016-10-11 12:16;Ute;9.9;66
2016-10-11 12:17;Ute;9.9;66
2016-10-11 12:18;Ute;9.9;66
2016-10-11 12:20;Ute;9.9;65
2016-10-11 13:33;Ute;9.9;65
2016-10-11 15:28;Ute;9.9;63
2016-10-11 15:29;Ute;9.9;63
2016-10-11 15:30;Ute;9.9;63
2016-10-11 15:31;Ute;9.9;63
2016-10-11 15:32;Ute;9.9;63
2016-10-11 15:33;Ute;9.9;63
2016-10-11 15:34;Ute;9.9;63
2016-10-11 15:35;Ute;9.9;63
2016-10-11 15:36;Ute;9.9;63
2016-10-11 15:37;Ute;9.9;63
2016-10-11 15:38;Ute;9.9;63
2016-10-11 15:39;Ute;9.9;63
2016-10-11 15:40;Ute;9.9;63
2016-10-11 15:40;Ute;9.9;63
2016-10-11 15:40;Ute;9.9;63
2016-10-11 15:41;Ute;9.9;63
2016-10-11 15:41;Ute;9.9;63
2016-10-11 15:41;Ute;9.9;63
2016-10-11 15:42;Ute;9.9;63
2016-10-11 15:42;Ute;9.9;63
2016-10-11 15:42;Ute;9.9;63
2016-10-11 15:43;Ute;9.9;63
2016-10-11 15:43;Ute;9.9;63
2016-10-11 15:43;Ute;9.9;63
2016-10-11 15:44;Ute;9.9;63
2016-10-11 15:44;Ute;9.9;63
2016-10-11 15:44;Ute;9.9;62
2016-10-11 15:45;Ute;9.9;62
2016-10-11 15:45;Ute;9.9;62
2016-10-11 15:45;Ute;9.9;62
2016-10-11 15:46;Ute;9.9;62
2016-10-11 15:46;Ute;9.9;62
2016-10-11 15:46;Ute;9.9;62
2016-10-11 15:47;Ute;9.9;62
2016-10-11 15:47;Ute;9.9;62
2016-10-11 15:47;Ute;9.9;62
2016-10-11 15:48;Ute;9.9;62
2016-10-11 15:48;Ute;9.9;62
2016-10-11 15:48;Ute;9.9;62
2016-10-11 15:49;Ute;9.9;62
2016-10-11 15:49;Ute;9.9;62
2016-10-11 15:49;Ute;9.9;62
2016-10-11 15:50;Ute;9.9;62
2016-10-11 15:50;Ute;9.9;62
2016-10-11 15:51;Ute;9.9;62
2016-10-11 15:51;Ute;9.9;62
2016-10-11 15:52;Ute;9.9;62
2016-10-11 15:52;Ute;9.9;62
2016-10-11 15:54;Ute;9.9;62
2016-10-11 15:54;Ute;9.9;62
2016-10-11 15:55;Ute;9.9;62
2016-10-19 09:33;Ute;9.9;75
2016-10-19 09:34;Ute;9.9;75
2016-10-19 09:35;Ute;9.9;75
2016-10-19 09:36;Ute;9.9;75
2016-10-19 09:38;Ute;9.9;75
2016-10-19 11:34;Ute;9.9;73
2016-10-19 11:35;Ute;9.9;73
2016-10-19 11:36;Ute;9.9;73
2016-10-19 11:37;Ute;9.9;72
2016-10-19 11:38;Ute;9.9;72
2016-10-19 11:39;Ute;9.9;72
2016-10-19 11:40;Ute;9.9;72
2016-10-19 11:41;Ute;9.9;72
2016-10-19 11:42;Ute;9.9;72
2016-10-19 11:43;Ute;9.9;72
2016-10-19 11:45;Ute;9.9;72
2016-10-19 11:46;Ute;9.9;72
2016-10-19 11:47;Ute;9.9;72
2016-10-19 11:51;Ute;9.9;72
2016-10-19 11:52;Ute;9.9;72
2016-10-19 11:53;Ute;9.9;72
2016-10-19 11:55;Ute;9.9;72
2016-10-19 11:56;Ute;9.9;72
2016-10-19 11:57;Ute;9.9;72
2016-10-19 11:58;Ute;9.9;72
2016-10-19 11:59;Ute;9.9;72
2016-10-19 12:00;Ute;9.9;72
2016-10-19 12:01;Ute;9.9;72
2016-10-19 12:02;Ute;9.9;72
2016-10-19 12:03;Ute;9.9;72
2016-10-19 12:04;Ute;9.9;72
2016-10-19 12:05;Ute;9.9;72
2016-10-19 12:06;Ute;9.9;72
2016-10-19 12:07;Ute;9.9;72
2016-10-19 12:08;Ute;9.9;72
2016-10-19 12:09;Ute;9.9;72
2016-10-19 12:10;Ute;9.9;72
2016-10-19 12:11;Ute;9.9;72
